post_id,is_misinformation,truth_value,total_reach,total_shares,total_flags,category_news,category_gossip,category_entertainment,category_politics,category_science,category_health,emotional_intensity,credibility_score,source_reliability,emotional_credibility_gap,sensationalism_score,early_reach,early_shares,early_flags,early_ignores,early_verifications,early_share_rate,early_flag_rate,early_ignore_rate,early_verification_rate,early_velocity,share_acceleration,avg_early_confidence,confidence_variance,early_immediate_sharers,early_cautious_sharers,early_skeptics,early_influencers,early_lurkers,skeptic_share_ratio,immediate_sharer_ratio,early_developer_shares,early_tester_shares,early_pm_shares,early_janitor_shares,early_designer_shares,early_intern_shares,early_sales_shares,early_hr_shares,developer_share_ratio,tester_flag_ratio,pm_share_ratio,first_share_tick,first_flag_tick,time_to_first_flag,immediate_share_ratio,verified_share_ratio,avg_trust_modifier,high_trust_shares
5a52829e,1,false,11,4,2,0,1,0,0,0,0,0.9,0.2,0.1,0.7200000000000001,0.6480000000000001,4,2,1,1,0,0.5,0.25,0.25,0.0,0.2,-2,0.8815,0.01404225,1,0,0,1,0,0.0,0.5,1,0,0,0,0,1,0,0,0.5,1.0,0.0,3,3,0,1.0,0.0,0.685,2
30500391,1,false,5,1,0,0,1,0,0,0,0,0.9,0.2,0.1,0.7200000000000001,0.6480000000000001,5,1,0,0,4,0.2,0.0,0.0,0.8,0.1,1,1.0,0.0,1,0,0,0,0,0.0,1.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,6,,,1.0,0.0,0.678,1
849f29ad,0,unverified,11,4,2,0,1,0,0,0,0,0.6,0.3,0.2,0.42,0.33599999999999997,7,3,2,1,1,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.3,-3,0.8290000000000001,0.034920666666666676,2,0,0,1,0,0.0,0.6666666666666666,2,0,0,0,0,1,0,0,0.6666666666666666,0.5,0.0,2,2,0,1.0,0.0,0.517,0
9a0191a2,0,true,2,0,0,1,0,0,0,0,0,0.2,0.85,0.9,0.030000000000000006,0.003,2,0,0,0,2,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0
e090715d,1,false,11,4,0,0,0,0,0,0,1,0.95,0.1,0.05,0.855,0.81225,6,2,0,1,3,0.3333333333333333,0.0,0.16666666666666666,0.5,0.2,2,0.775,0.05062499999999999,1,0,0,1,0,0.0,0.5,1,0,0,1,0,0,0,0,0.5,0.0,0.0,6,,,1.0,0.0,0.645,2
8044d8d1,1,mixed,10,4,2,0,0,0,1,0,0,0.7,0.5,0.4,0.35,0.21,10,4,2,2,2,0.4,0.2,0.2,0.2,0.4,-4,0.93375,0.0116491875,3,0,0,1,0,0.0,0.75,2,1,0,0,0,1,0,0,0.5,0.5,0.0,1,1,0,1.0,0.0,0.642,4
ddb554e5,0,true,12,4,0,1,0,0,0,0,0,0.2,0.85,0.9,0.030000000000000006,0.003,1,1,0,0,0,1.0,0.0,0.0,0.0,0.1,-1,1.0,0.0,1,0,0,0,0,0.0,1.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,4,,,1.0,0.0,0.488,0
c0bae1bb,1,mixed,9,2,1,0,0,0,0,1,0,0.6,0.6,0.5,0.24,0.12,7,2,1,3,1,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.2,2,0.9145000000000001,7.225000000000013e-05,2,0,0,0,0,0.0,1.0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,7,6,-1,1.0,0.0,0.691,2
0ad6e2f1,1,false,12,5,1,0,1,0,0,0,0,0.9,0.2,0.1,0.7200000000000001,0.6480000000000001,2,1,0,0,1,0.5,0.0,0.0,0.5,0.1,1,1.0,0.0,1,0,0,0,0,0.0,1.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,6,,,1.0,0.0,0.508,0
8329fd52,1,mixed,2,0,0,0,0,0,0,1,0,0.6,0.6,0.5,0.24,0.12,2,0,0,1,1,0.0,0.0,0.5,0.5,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0
