post_id,is_misinformation,truth_value,total_reach,total_shares,total_flags,category_news,category_gossip,category_entertainment,category_politics,category_science,category_health,emotional_intensity,credibility_score,source_reliability,emotional_credibility_gap,sensationalism_score,early_reach,early_shares,early_flags,early_ignores,early_verifications,early_share_rate,early_flag_rate,early_ignore_rate,early_verification_rate,early_velocity,share_acceleration,avg_early_confidence,confidence_variance,early_immediate_sharers,early_cautious_sharers,early_skeptics,early_influencers,early_lurkers,skeptic_share_ratio,immediate_sharer_ratio,first_share_tick,first_flag_tick,time_to_first_flag,immediate_share_ratio,verified_share_ratio,avg_trust_modifier,high_trust_shares
ace02b0a,1,false,8,2,1,1,0,0,0,0,0,0.85,0.15,0.1,0.7224999999999999,0.65025,7,2,0,3,2,0.2857142857142857,0.0,0.42857142857142855,0.2857142857142857,0.2,0,1.0,0.0,2,0,0,0,0,0.0,1.0,0,,,1.0,0.0,0.5800000000000001,1
a8b3923b,0,true,11,5,0,0,0,1,0,0,0,0.5,0.7,0.6,0.15000000000000002,0.06000000000000001,11,5,0,2,4,0.45454545454545453,0.0,0.18181818181818182,0.36363636363636365,0.5,-3,0.8545999999999999,0.03387264000000001,3,1,0,1,0,0.0,0.6,1,,,1.0,0.0,0.6492,5
8bcf4897,0,true,10,2,2,1,0,0,0,0,0,0.2,0.85,0.9,0.030000000000000006,0.003,8,2,2,3,1,0.25,0.25,0.375,0.125,0.2,-2,1.0,0.0,2,0,0,0,0,0.0,1.0,2,3,1,1.0,0.0,0.649,2
ef431875,1,mixed,5,0,0,0,0,0,0,1,0,0.6,0.6,0.5,0.24,0.12,5,0,0,2,3,0.0,0.0,0.4,0.6,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,0.0,0.0,0.0,0
78f5e25c,1,mixed,10,3,1,0,0,0,1,0,0,0.7,0.5,0.4,0.35,0.21,2,1,0,0,1,0.5,0.0,0.0,0.5,0.1,1,1.0,0.0,1,0,0,0,0,0.0,1.0,5,,,1.0,0.0,0.545,0
4abed904,0,unverified,5,0,0,0,1,0,0,0,0,0.6,0.3,0.2,0.42,0.33599999999999997,5,0,0,2,3,0.0,0.0,0.4,0.6,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,0.0,0.0,0.0,0
41c5f9aa,1,false,3,0,0,0,1,0,0,0,0,0.9,0.2,0.1,0.7200000000000001,0.6480000000000001,3,0,0,0,3,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,0.0,0.0,0.0,0
1fd0e719,0,true,9,5,0,0,0,0,0,1,0,0.5,0.85,0.9,0.07500000000000001,0.0075,3,1,0,0,2,0.3333333333333333,0.0,0.0,0.6666666666666666,0.1,1,0.61,0.0,0,0,0,1,0,0.0,0.0,7,,,1.0,0.0,0.49,0
75a0f48d,0,unverified,11,3,0,0,1,0,0,0,0,0.6,0.3,0.2,0.42,0.33599999999999997,10,3,0,2,5,0.3,0.0,0.2,0.5,0.3,-3,0.914,0.014792,2,0,0,1,0,0.0,0.6666666666666666,0,,,1.0,0.0,0.561,0
8121b631,1,false,3,0,1,1,0,0,0,0,0,0.85,0.15,0.1,0.7224999999999999,0.65025,3,0,1,1,1,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,1,,0.0,0.0,0.0,0
